日期,赛事,主队,比分,客队,结果
2018-09-18,UEFA Champions League,Liverpool,3:2,Paris Saint Germain,Liverpool胜
2025-03-11,UEFA Champions League,Liverpool,0:1,Paris Saint Germain,Paris Saint Germain胜
2018-11-28,UEFA Champions League,Paris Saint Germain,2:1,Liverpool,Paris Saint Germain胜
2025-03-05,UEFA Champions League,Paris Saint Germain,0:1,Liverpool,Liverpool胜
2026-04-08,UEFA Champions League,Paris Saint Germain,2:0,Liverpool,Paris Saint Germain胜
